row_number,text,current_label,suggested_label,confidence,second_best_label,second_best_confidence
66,မင်းက ဘာသိလို့လဲ,anger,love,0.9989124021302213,anger,0.0005008995516680443
364,မင်း ကြောင့် ပျက်စီးကုန်ပြီ,anger,love,0.9989124021302213,anger,0.0005008995516680443
285,မင်းက ဘာမို့လို့လဲ,anger,love,0.9989124021302213,anger,0.0005008995516680443
764,မင်းကို မေးနေလို့လား,anger,love,0.9989124021302213,anger,0.0005008995516680443
248,လူကြီးတွေ ဆူမှာကို ကြောက်နေရတာ,fear,neutral,0.949505282364843,love,0.014447906959954272
905,မင်း ကြောင့် ဖြစ်ရတာ,anger,love,0.9636451410604111,neutral,0.015736884354805396
990,နေသားကျဖို့ ကြိုးစားရတာ မောလှပြီ,sadness,neutral,0.949505282364843,love,0.014447906959954272
24,လွမ်းရတာ မောလှပြီ,sadness,neutral,0.949505282364843,love,0.014447906959954272
65,ငါ တကယ် မောနေပြီ,love,anger,0.5232382037006251,surprise,0.2751126980899848
126,တကယ် ကြောက်တာပါ,fear,anger,0.5232382037006251,surprise,0.2751126980899848
413,အားလုံးကို မေတ္တာပွားနေမိတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
412,အားလုံး အိုကေတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
253,ရိုးရိုးလေးပဲ ကောင်းပါတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
210,အေးအေးလူလူ ရှိနေတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
897,အေးအေးဆေးဆေးနဲ့ ပြီးပြည့်စုံတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
165,သီချင်းအေးအေးလေးက စိတ်ကို ကုစားပေးတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
398,စိတ်ထဲ ရှင်းသွားတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
45,စိတ်ထဲ နေလို့ကောင်းတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
60,နေသာလို့ ကောင်းတယ်,neutral,fear,0.4687286022583186,anger,0.21446788698977856
177,အိပ်မက်တွေက ပျက်စီးသွားပြီ,love,fear,0.2895516524261426,anger,0.26473027395348064
1925,ငါ တကယ် မောနေပြီ,sadness,surprise,0.5538632344532524,joy,0.15042493853151942
804,စိတ်ဓာတ်တွေ အောက်ခြေအထိ ထိုးကျသွားတဲ့နေ့,love,sadness,0.5492056335587321,neutral,0.20427806761687956
994,ဘာမှ မရှိတော့ဘူး,love,anger,0.3584531194889183,neutral,0.27629407926387906
848,အားလုံးက ငါ့ကို စွန့်ပစ်သွားကြတာ,love,anger,0.5742449399784744,sadness,0.15648431893296258
998,စိတ်တွေ လွင့်ပါးနေတယ်,love,fear,0.4687286022583186,anger,0.21446788698977856
302,စိတ်ပျက်စရာတွေချည်းပဲ,love,fear,0.28725710132858867,anger,0.2376043117649871
585,ပျော်စရာဆိုတာ ဘာလဲ မေ့နေပြီ,love,fear,0.28725710132858867,anger,0.2376043117649871
